probability	num_empty_space	num_suit_left	num_to_draw	deck_size
        0.226	            1	            1	            8	           46
        0.202	            1	            1	            9	           46
        0.268	            1	            1	           10	           46
        0.306	            1	            1	           11	           46
         0.29	            1	            1	           12	           46
        0.318	            1	            1	           13	           46
        0.328	            1	            1	           14	           46
         0.36	            1	            1	           15	           46
        0.416	            1	            1	           16	           46
         0.43	            1	            1	           17	           46
        0.018	            1	            1	            1	           47
        0.058	            1	            1	            2	           47
        0.058	            1	            1	            3	           47
        0.092	            1	            1	            4	           47
        0.132	            1	            1	            5	           47
        0.172	            1	            1	            6	           47
        0.168	            1	            1	            7	           47
        0.198	            1	            1	            8	           47
        0.224	            1	            1	            9	           47
        0.262	            1	            1	           10	           47
        0.316	            1	            1	           11	           47
        0.304	            1	            1	           12	           47
        0.332	            1	            1	           13	           47
         0.37	            1	            1	           14	           47
        0.348	            1	            1	           15	           47
        0.408	            1	            1	           16	           47
        0.418	            1	            1	           17	           47
         0.03	            1	            1	            1	           48
        0.056	            1	            1	            2	           48
         0.08	            1	            1	            3	           48
        0.106	            1	            1	            4	           48
        0.098	            1	            1	            5	           48
        0.164	            1	            1	            6	           48
        0.176	            1	            1	            7	           48
        0.204	            1	            1	            8	           48
        0.232	            1	            1	            9	           48
        0.238	            1	            1	           10	           48
        0.272	            1	            1	           11	           48
        0.294	            1	            1	           12	           48
         0.32	            1	            1	           13	           48
        0.368	            1	            1	           14	           48
         0.36	            1	            1	           15	           48
         0.41	            1	            1	           16	           48
         0.43	            1	            1	           17	           48
        0.016	            1	            1	            1	           49
        0.044	            1	            1	            2	           49
        0.072	            1	            1	            3	           49
        0.096	            1	            1	            4	           49
        0.146	            1	            1	            5	           49
        0.148	            1	            1	            6	           49
        0.208	            1	            1	            7	           49
        0.204	            1	            1	            8	           49
        0.186	            1	            1	            9	           49
        0.252	            1	            1	           10	           49
        0.294	            1	            1	           11	           49
        0.286	            1	            1	           12	           49
        0.304	            1	            1	           13	           49
        0.354	            1	            1	           14	           49
        0.394	            1	            1	           15	           49
        0.398	            1	            1	           16	           49
        0.404	            1	            1	           17	           49
        0.006	            1	            1	            1	           50
        0.054	            1	            1	            2	           50
         0.07	            1	            1	            3	           50
        0.086	            1	            1	            4	           50
        0.134	            1	            1	            5	           50
        0.146	            1	            1	            6	           50
        0.176	            1	            1	            7	           50
        0.212	            1	            1	            8	           50
        0.214	            1	            1	            9	           50
        0.276	            1	            1	           10	           50
        0.262	            1	            1	           11	           50
        0.304	            1	            1	           12	           50
        0.364	            1	            1	           13	           50
        0.352	            1	            1	           14	           50
        0.358	            1	            1	           15	           50
        0.362	            1	            1	           16	           50
         0.43	            1	            1	           17	           50
        0.012	            1	            1	            1	           51
        0.042	            1	            1	            2	           51
         0.07	            1	            1	            3	           51
        0.104	            1	            1	            4	           51
        0.118	            1	            1	            5	           51
        0.148	            1	            1	            6	           51
         0.16	            1	            1	            7	           51
        0.194	            1	            1	            8	           51
        0.214	            1	            1	            9	           51
        0.266	            1	            1	           10	           51
        0.274	            1	            1	           11	           51
        0.312	            1	            1	           12	           51
        0.282	            1	            1	           13	           51
        0.346	            1	            1	           14	           51
        0.376	            1	            1	           15	           51
        0.406	            1	            1	           16	           51
        0.422	            1	            1	           17	           51
        0.026	            1	            1	            1	           52
         0.06	            1	            1	            2	           52
        0.068	            1	            1	            3	           52
         0.11	            1	            1	            4	           52
        0.134	            1	            1	            5	           52
        0.158	            1	            1	            6	           52
        0.148	            1	            1	            7	           52
        0.224	            1	            1	            8	           52
        0.246	            1	            1	            9	           52
         0.26	            1	            1	           10	           52
        0.254	            1	            1	           11	           52
        0.352	            1	            1	           12	           52
        0.346	            1	            1	           13	           52
        0.346	            1	            1	           14	           52
         0.37	            1	            1	           15	           52
        0.386	            1	            1	           16	           52
        0.426	            1	            1	           17	           52
         0.13	            1	            2	            1	           18
        0.206	            1	            2	            2	           18
        0.298	            1	            2	            3	           18
        0.402	            1	            2	            4	           18
        0.524	            1	            2	            5	           18
        0.586	            1	            2	            6	           18
        0.642	            1	            2	            7	           18
        0.706	            1	            2	            8	           18
        0.778	            1	            2	            9	           18
        0.824	            1	            2	           10	           18
        0.846	            1	            2	           11	           18
         0.91	            1	            2	           12	           18
        0.938	            1	            2	           13	           18
        0.968	            1	            2	           14	           18
        0.976	            1	            2	           15	           18
        0.994	            1	            2	           16	           18
          1.0	            1	            2	           17	           18
        0.114	            1	            2	            1	           19
        0.204	            1	            2	            2	           19
        0.318	            1	            2	            3	           19
        0.402	            1	            2	            4	           19
        0.446	            1	            2	            5	           19
        0.556	            1	            2	            6	           19
        0.612	            1	            2	            7	           19
        0.672	            1	            2	            8	           19
         0.75	            1	            2	            9	           19
        0.788	            1	            2	           10	           19
        0.842	            1	            2	           11	           19
        0.892	            1	            2	           12	           19
        0.916	            1	            2	           13	           19
        0.956	            1	            2	           14	           19
        0.978	            1	            2	           15	           19
        0.982	            1	            2	           16	           19
        0.994	            1	            2	           17	           19
        0.086	            1	            2	            1	           20
        0.204	            1	            2	            2	           20
        0.292	            1	            2	            3	           20
        0.322	            1	            2	            4	           20
        0.456	            1	            2	            5	           20
        0.522	            1	            2	            6	           20
        0.578	            1	            2	            7	           20
         0.62	            1	            2	            8	           20
        0.718	            1	            2	            9	           20
        0.764	            1	            2	           10	           20
        0.784	            1	            2	           11	           20
         0.85	            1	            2	           12	           20
        0.878	            1	            2	           13	           20
