Probability	Target freq	Row freq	Deck freq	Number to draw	Deck size
    0.048	        1	        0	        1	        3	       50
    0.074	        1	        0	        1	        4	       50
     0.11	        1	        0	        1	        5	       50
    0.146	        1	        0	        1	        6	       50
    0.158	        1	        0	        1	        7	       50
    0.146	        1	        0	        1	        8	       50
    0.194	        1	        0	        1	        9	       50
     0.18	        1	        0	        1	       10	       50
    0.228	        1	        0	        1	       11	       50
     0.19	        1	        0	        1	       12	       50
    0.242	        1	        0	        1	       13	       50
     0.28	        1	        0	        1	       14	       50
    0.286	        1	        0	        1	       15	       50
    0.332	        1	        0	        1	       16	       50
    0.364	        1	        0	        1	       17	       50
      0.0	        1	        0	        1	        0	       51
    0.026	        1	        0	        1	        1	       51
    0.062	        1	        0	        1	        2	       51
     0.06	        1	        0	        1	        3	       51
    0.088	        1	        0	        1	        4	       51
    0.092	        1	        0	        1	        5	       51
     0.13	        1	        0	        1	        6	       51
    0.138	        1	        0	        1	        7	       51
    0.142	        1	        0	        1	        8	       51
    0.172	        1	        0	        1	        9	       51
    0.202	        1	        0	        1	       10	       51
    0.224	        1	        0	        1	       11	       51
    0.242	        1	        0	        1	       12	       51
    0.276	        1	        0	        1	       13	       51
    0.296	        1	        0	        1	       14	       51
    0.352	        1	        0	        1	       15	       51
    0.358	        1	        0	        1	       16	       51
    0.346	        1	        0	        1	       17	       51
      0.0	        1	        0	        1	        0	       52
    0.022	        1	        0	        1	        1	       52
    0.028	        1	        0	        1	        2	       52
     0.06	        1	        0	        1	        3	       52
     0.08	        1	        0	        1	        4	       52
    0.088	        1	        0	        1	        5	       52
    0.132	        1	        0	        1	        6	       52
     0.11	        1	        0	        1	        7	       52
    0.162	        1	        0	        1	        8	       52
    0.202	        1	        0	        1	        9	       52
    0.196	        1	        0	        1	       10	       52
    0.254	        1	        0	        1	       11	       52
    0.252	        1	        0	        1	       12	       52
    0.294	        1	        0	        1	       13	       52
    0.262	        1	        0	        1	       14	       52
    0.308	        1	        0	        1	       15	       52
    0.354	        1	        0	        1	       16	       52
    0.336	        1	        0	        1	       17	       52
      0.0	        1	        0	        2	        0	       18
     0.09	        1	        0	        2	        1	       18
     0.21	        1	        0	        2	        2	       18
    0.346	        1	        0	        2	        3	       18
    0.398	        1	        0	        2	        4	       18
     0.51	        1	        0	        2	        5	       18
     0.52	        1	        0	        2	        6	       18
    0.644	        1	        0	        2	        7	       18
    0.716	        1	        0	        2	        8	       18
    0.748	        1	        0	        2	        9	       18
    0.822	        1	        0	        2	       10	       18
    0.876	        1	        0	        2	       11	       18
    0.912	        1	        0	        2	       12	       18
    0.938	        1	        0	        2	       13	       18
    0.954	        1	        0	        2	       14	       18
    0.988	        1	        0	        2	       15	       18
    0.994	        1	        0	        2	       16	       18
      1.0	        1	        0	        2	       17	       18
      0.0	        1	        0	        2	        0	       19
    0.102	        1	        0	        2	        1	       19
    0.186	        1	        0	        2	        2	       19
     0.29	        1	        0	        2	        3	       19
     0.37	        1	        0	        2	        4	       19
    0.416	        1	        0	        2	        5	       19
    0.538	        1	        0	        2	        6	       19
    0.626	        1	        0	        2	        7	       19
    0.674	        1	        0	        2	        8	       19
